state,mask_date,mask_in_effect,mask_end_date,stay_at_home_start,stay_at_home_end
AL,16-07-2021,FALSE,09-04-2021,04-04-2020,30-04-2020
AK,,FALSE,,28-03-2020,24-04-2020
AZ,,FALSE,,31-03-2020,04-05-2020
AR,20-07-2020,FALSE,25-03-2021,,
CA,18-06-2020,TRUE,,19-03-2020,08-05-2020
CO,17-07-2021,TRUE,03-05-2021,26-03-2020,27-04-2020
CT,14-08-2020,TRUE,19-05-2021,23-03-2020,17-06-2020
DE,05-01-2021,TRUE,,24-03-2020,08-05-2020
DC,22-07-2020,TRUE,,01-04-2020,29-05-2020
FL,,FALSE,,03-04-2020,05-06-2020
GA,,FALSE,,03-04-2020,04-24-2020
HI,17-04-2020,TRUE,,25-03-2020,31-05-2020
ID,,FALSE,,25-03-2020,01-05-2020
IL,01-05-2020,TRUE,,21-03-2020,30-05-2020
IN,27-07-2020,FALSE,06-04-2021,24-03-2020,04-05-2020
IA,,FALSE,07-02-2021,,
KS,03-07-2020,FALSE,01-04-2021,30-03-2020,04-05-2020
KY,10-07-2020,TRUE,30-04-2021,26-03-2020,11-05-2020
LA,11-07-2020,TRUE,28-04-2021,23-03-2020,05-06-2020
ME,01-05-2020,TRUE,,02-04-2020,01-06-2020
MD,15-04-2021,TRUE,,30-03-2020,07-05-2020
MA,06-05-2020,TRUE,,24-03-2020,08-06-2020
MI,24-04-2020,TRUE,24-05-2021,24-03-2020,01-06-2020
MN,25-07-2020,TRUE,,27-03-2020,04-05-2020
MS,04-08-2020,FALSE,01-10-2020,03-04-2020,25-05-2020
MO,,FALSE,,06-04-2020,03-05-2020
MT,,FALSE,,28-03-2020,27-04-2020
NE,,FALSE,,,
NV,26-06-2020,TRUE,,04-01-2020,01-05-2020
NH,20-11-2020,FALSE,15-04-2021,27-03-2020,04-05-2020
NJ,10-04-2020,TRUE,,21-03-2020,02-05-2020
NM,16-05-2020,TRUE,,24-03-2020,01-05-2020
NY,17-04-2020,TRUE,,22-03-2020,15-05-2020
NC,26-06-2020,TRUE,,30-03-2020,08-05-2020
ND,13-11-2020,FALSE,18-01-2021,,
OH,07-23-2020,TRUE,,03-23-2020,01-05-2020
OK,,FALSE,,,
OR,01-07-2020,TRUE,,03-23-2020,15-05-2020
PA,01-07-2020,TRUE,,01-04-2020,01-05-2020
RI,08-05-2020,TRUE,05-07-2021,28-03-2020,09-05-2020
SC,,FALSE,,07-04-2020,20-04-2020
SD,,FALSE,,,
TN,,FALSE,,31-03-2020,27-04-2020
TX,,FALSE,,02-04-2020,18-05-2020
UT,09-11-2020,FALSE,10-04-2021,,
VT,01-08-2020,TRUE,,25-03-2020,27-04-2020
VA,30-05-2020,TRUE,,30-03-2020,15-05-2020
WA,08-06-2020,TRUE,,23-03-2020,05-05-2020
WV,06-07-2020,TRUE,,24-03-2020,30-04-2020
WI,01-08-2020,FALSE,31-03-2021,25-03-2020,01-05-2020
WY,09-12-2020,FALSE,08-01-2021,,
